"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"cam_helper","1","201","4428775424","4141056","2187264","11416","C:\Program Files\NZXT CAM\resources\app.asar.unpacked\node_modules\@nzxt\rust-cam\dist\native\target\release\cam_helper.exe","","0.140625","0.43.1","0.43.1","","rust-cam-worker","Process","8",,"False",,"4612","Microsoft.Win32.SafeHandles.SafeProcessHandle","201","18916",".","0","","System.Diagnostics.ProcessModule (cam_helper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11416","11416","2187264","2187264","190888","190888","2285568","2285568","8876032","8876032","137601024","4432568320","True","Normal","2187264","2187264","00:00:00.1406250","cam_helper","4095","True","1","System.Diagnostics.ProcessStartInfo","10/24/2020 4:24:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00","133808128","4428775424","False",,,,"4141056","4141056",,
"cam_helper","1","174","4425240576","5701632","2420736","10504","C:\Program Files\NZXT CAM\resources\app.asar.unpacked\node_modules\@nzxt\rust-cam\dist\native\target\release\cam_helper.exe","","5.171875","0.43.1","0.43.1","","rust-cam-worker","Process","8",,"False",,"5940","Microsoft.Win32.SafeHandles.SafeProcessHandle","174","19032",".","0","","System.Diagnostics.ProcessModule (cam_helper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10504","10504","2420736","2420736","179752","179752","2580480","2580480","9658368","9658368","133476352","4428443648","True","Normal","2420736","2420736","00:00:02.7500000","cam_helper","4095","True","1","System.Diagnostics.ProcessStartInfo","10/24/2020 4:24:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.1718750","00:00:02.4218750","130273280","4425240576","False",,,,"5701632","5701632",,
"cam_helper","1","659","4511490048","25956352","21860352","26144","C:\Program Files\NZXT CAM\resources\app.asar.unpacked\node_modules\@nzxt\rust-cam\dist\native\target\release\cam_helper.exe","","42438.015625","0.43.1","0.43.1","","rust-cam-worker","Process","8",,"False",,"4496","Microsoft.Win32.SafeHandles.SafeProcessHandle","659","19076",".","0","","System.Diagnostics.ProcessModule (cam_helper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26144","26144","21860352","21860352","274096","274096","22511616","22511616","34082816","34082816","610832384","4905799680","True","Normal","21860352","21860352","10:36:01.1718750","cam_helper","4095","True","1","System.Diagnostics.ProcessStartInfo","10/24/2020 4:24:14 PM",,"System.Diagnostics.ProcessThreadCollection","11:47:18.0312500","01:11:16.8593750","216522752","4511490048","False",,,,"25956352","25956352",,
"CC_Engine_x64","0","470","4697600000","10539008","237641728","20432","C:\Program Files (x86)\MSI\One Dragon Center\CC_Engine_x64.exe","MSI","12988.265625","2.0.0.27","2.0.0.27","","CC_Engin.exe","Process","10",,"False",,"5980","Microsoft.Win32.SafeHandles.SafeProcessHandle","470","15036",".","0","","System.Diagnostics.ProcessModule (CC_Engine_x64.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20432","20432","237641728","237641728","224816","224816","237682688","237682688","38780928","38780928","403681280","4698648576","True","AboveNormal","237641728","237641728","00:30:40.0781250","CC_Engine_x64","4095","True","0","System.Diagnostics.ProcessStartInfo","10/24/2020 4:23:52 PM",,"System.Diagnostics.ProcessThreadCollection","03:36:28.2656250","03:05:48.1875000","402632704","4697600000","False",,,,"10539008","10539008",,
"chrome","1","462","2208209334272","147562496","144297984","28552","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","137.734375","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","4",,"False",,"5860","Microsoft.Win32.SafeHandles.SafeProcessHandle","462","1456",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28552","28552","144297984","144297984","783056","783056","221810688","221810688","249782272","249782272","663252992","2216866377728","True","Idle","144297984","144297984","00:00:07.8281250","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","11/1/2020 12:25:49 AM",,"System.Diagnostics.ProcessThreadCollection","00:02:17.7343750","00:02:09.9062500","596144128","2208209334272","False",,,,"147562496","147562496",,
"chrome","1","374","2208581079040","97030144","409669632","36168","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","141","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","4",,"False",,"6192","Microsoft.Win32.SafeHandles.SafeProcessHandle","374","1628",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","36168","36168","409669632","409669632","997576","997576","432881664","432881664","453681152","453681152","556670976","2216759795712","True","Idle","409669632","409669632","00:00:18.1406250","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","11/1/2020 12:48:54 AM",,"System.Diagnostics.ProcessThreadCollection","00:02:21","00:02:02.8593750","967888896","2208581079040","False",,,,"97030144","97030144",,
"chrome","1","312","2208149327872","85082112","65929216","24336","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","22.3125","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","4",,"False",,"4656","Microsoft.Win32.SafeHandles.SafeProcessHandle","312","2380",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24336","24336","65929216","65929216","786832","786832","153239552","153239552","191569920","191569920","325349376","2212233506816","True","Idle","65929216","65929216","00:00:02.0937500","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","11/1/2020 12:57:41 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:22.3125000","00:00:20.2187500","536137728","2208149327872","False",,,,"85082112","85082112",,
"chrome","1","245","2208148549632","93786112","153575424","19984","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","377.890625","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","8",,"False",,"7780","Microsoft.Win32.SafeHandles.SafeProcessHandle","245","3260",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19984","19984","153575424","153575424","482904","482904","165507072","165507072","151916544","151916544","325349376","2212233506816","True","Normal","153575424","153575424","00:00:42.2968750","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","10/25/2020 1:41:39 AM",,"System.Diagnostics.ProcessThreadCollection","00:06:17.8906250","00:05:35.5937500","535359488","2208148549632","False",,,,"93786112","93786112",,
"chrome","1","416","2212462419968","91885568","80953344","33856","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","17.28125","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","4",,"False",,"7844","Microsoft.Win32.SafeHandles.SafeProcessHandle","416","3988",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","33856","33856","80953344","80953344","706520","706520","104022016","104022016","144392192","144392192","596226048","2216799350784","True","Idle","80953344","80953344","00:00:01.6562500","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","10/31/2020 5:23:44 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:17.2812500","00:00:15.6250000","554262528","2212462419968","False",,,,"91885568","91885568",,
"chrome","1","308","2208123318272","88092672","61620224","22568","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","9.125","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","4",,"False",,"4704","Microsoft.Win32.SafeHandles.SafeProcessHandle","308","8072",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22568","22568","61620224","61620224","788512","788512","111947776","111947776","156385280","156385280","325349376","2212233506816","True","Idle","61620224","61620224","00:00:00.5468750","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","11/1/2020 1:22:43 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:09.1250000","00:00:08.5781250","510128128","2208123318272","False",,,,"88092672","88092672",,
